Program,Organization,Type,Rating,Difficulty,Students,Students_old
Mathematics for Data Science,National Research University Higher School of Economics,Specialization,4.5,Beginner,12000,12k
Mathematics for Machine Learning,Imperial College London,Specialization,4.6,Beginner,150000,150k
Mathematics for Machine Learning: Linear Algebra,Imperial College London,Course,4.7,Beginner,140000,140k
Mathematics for Machine Learning: Multivariate Calculus,Imperial College London,Course,4.7,Beginner,51000,51k
Mathematics for Machine Learning: PCA,Imperial College London,Course,4.0,Intermediate,33000,33k
Medical Cannabis: The Health Effects of THC and CBD,University of Colorado Boulder,Specialization,4.8,Beginner,4800,4.8k
Medical Neuroscience,Duke University,Course,4.9,Advanced,170000,170k
Memoir and Personal Essay: Write About Yourself,Wesleyan University,Specialization,4.3,Beginner,13000,13k
Methods and Statistics in Social Sciences,University of Amsterdam,Specialization,4.6,Beginner,260000,260k
Microeconomics Principles,University of Illinois at Urbana-Champaign,Course,4.9,Beginner,73000,73k
Microeconomics: The Power of Markets,University of Pennsylvania,Course,4.7,Mixed,34000,34k
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,McMaster University,Course,4.8,Beginner,230000,230k
Miracles of Human Language: An Introduction to Linguistics,Universiteit Leiden,Course,4.7,Beginner,120000,120k
Model Thinking,University of Michigan,Course,4.8,Mixed,130000,130k
Modeling Risk and Realities,University of Pennsylvania,Course,4.6,Mixed,36000,36k
Modern Art & Ideas,The Museum of Modern Art,Course,4.7,Beginner,310000,310k
Modern Big Data Analysis with SQL,Cloudera,Specialization,4.8,Beginner,14000,14k
"Modern Robotics:  Mechanics, Planning, and Control",Northwestern University,Specialization,4.7,Intermediate,21000,21k
Modernizing Data Lakes and Data Warehouses with GCP,Google Cloud,Course,4.7,Intermediate,9100,9.1k
Moral Foundations of Politics,Yale University,Course,4.8,Mixed,100000,100k
More Introduction to Financial Accounting,University of Pennsylvania,Course,4.9,Mixed,40000,40k
Mountains 101,University of Alberta,Course,4.9,Mixed,44000,44k
Municipal Solid Waste Management in Developing Countries,École Polytechnique Fédérale de Lausanne,Course,4.8,Intermediate,59000,59k
Music Business,Berklee College of Music,Specialization,4.8,Beginner,42000,42k
Music Business Foundations,Berklee College of Music,Course,4.9,Mixed,34000,34k
Music Production,Berklee College of Music,Specialization,4.8,Beginner,70000,70k
Nanotechnology: A Maker’s Course,Duke University,Course,4.8,Mixed,21000,21k
Natural Language Processing in TensorFlow,deeplearning.ai,Course,4.6,Intermediate,40000,40k
Negociación exitosa: Estrategias y habilidades esenciales (en español),University of Michigan,Course,4.8,Mixed,95000,95k
"Negotiation, Mediation and Conflict Resolution",ESSEC Business School,Specialization,4.7,Beginner,22000,22k
Networking and Security Architecture with VMware NSX,VMware,Course,4.8,Intermediate,17000,17k
Networking in Google Cloud,Google Cloud,Specialization,4.7,Intermediate,290000,290k
Neural Networks and Deep Learning,deeplearning.ai,Course,4.9,Intermediate,630000,630k
Neurolinguistics,Saint Petersburg State University,Course,4.7,Mixed,41000,41k
New Approaches to Countering Terror: Countering Violent Extremism,"University of Maryland, College Park",Course,4.7,Beginner,12000,12k
Newborn Baby Care,University of Colorado System,Specialization,4.8,Beginner,5300,5.3k
Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,Course,4.8,Beginner,100000,100k
Nutrition and Lifestyle in Pregnancy,Ludwig-Maximilians-Universität München (LMU),Course,4.8,Intermediate,35000,35k
Object Oriented Java Programming: Data Structures and Beyond,University of California San Diego,Specialization,4.7,Intermediate,250000,250k
Object Oriented Programming in Java,Duke University,Specialization,4.6,Beginner,330000,330k
Object-Oriented Data Structures in C++,University of Illinois at Urbana-Champaign,Course,4.7,Intermediate,21000,21k
Object-Oriented Design,University of Alberta,Course,4.7,Intermediate,33000,33k
Oil & Gas Industry Operations and Markets,Duke University,Course,4.8,Mixed,57000,57k
"Open Source Software Development, Linux and Git",The Linux Foundation,Specialization,4.4,Beginner,13000,13k
Operating Systems and You: Becoming a Power User,Google,Course,4.6,Beginner,76000,76k
Operations Analytics,University of Pennsylvania,Course,4.7,Mixed,80000,80k
Optical Engineering,University of Colorado Boulder,Specialization,4.2,Advanced,6200,6.2k
Organizational Leadership,Northwestern University,Specialization,4.7,Intermediate,92000,92k
Osteoarchaeology: The Truth in Our Bones,Universiteit Leiden,Course,4.7,Beginner,22000,22k
Palliative Care: It's Not Just Hospice Anymore,University of Colorado System,Specialization,4.8,Beginner,3200,3.2k
Palo Alto Networks Cybersecurity,Palo Alto Networks,Specialization,4.6,Beginner,9100,9.1k
"Parallel, Concurrent, and Distributed Programming in Java",Rice University,Specialization,4.5,Intermediate,30000,30k
Particle Physics: an Introduction,University of Geneva,Course,4.5,Mixed,42000,42k
Patient Safety,Johns Hopkins University,Specialization,4.8,Beginner,8800,8.8k
Patrocinio Deportivo,Universitat Autònoma de Barcelona,Course,4.6,Beginner,12000,12k
People Analytics,University of Pennsylvania,Course,4.5,Mixed,84000,84k
Perfect Tenses and Modals,"University of California, Irvine",Course,4.7,Intermediate,79000,79k
Periodismo digital y combate a las fake news,Universidad Nacional Autónoma de México,Course,4.9,Beginner,8900,8.9k
Photography Basics and Beyond: From Smartphone to DSLR,Michigan State University,Specialization,4.7,Beginner,160000,160k
Plant Bioinformatic Methods,University of Toronto,Specialization,4.7,Beginner,83000,83k
Politics and Economics of International Energy,Sciences Po,Course,4.7,Beginner,34000,34k
Positive Psychiatry and Mental Health,The University of Sydney,Course,4.8,Mixed,72000,72k
Positive Psychology,The University of North Carolina at Chapel Hill,Course,4.7,Mixed,180000,180k
Positive Psychology: Applications and Interventions,University of Pennsylvania,Course,4.8,Beginner,23000,23k
Positive Psychology: Martin E. P. Seligman’s Visionary Science,University of Pennsylvania,Course,4.8,Beginner,50000,50k
Positive Psychology: Resilience Skills,University of Pennsylvania,Course,4.6,Beginner,40000,40k
Power Electronics,University of Colorado Boulder,Specialization,4.8,Intermediate,67000,67k
Practical Data Science with MATLAB,MathWorks,Specialization,4.7,Beginner,10000,10k
Practical Time Series Analysis,The State University of New York,Course,4.6,Intermediate,39000,39k
Preparing for the Google Cloud Associate Cloud Engineer Exam,Google Cloud,Course,4.7,Beginner,22000,22k
Preparing to Manage Human Resources,University of Minnesota,Course,4.8,Mixed,68000,68k
"Presentation Skills: Speechwriting, Slides and Delivery",E-Learning Development Fund,Specialization,4.6,Beginner,47000,47k
Pricing Strategy Optimization,BCG,Specialization,4.8,Beginner,20000,20k
Primeros Auxilios Psicológicos (PAP),Universitat Autònoma de Barcelona,Course,4.8,Mixed,280000,280k
Private Equity and Venture Capital,Università Bocconi,Course,4.8,Mixed,79000,79k
Probabilistic Graphical Models 1: Representation,Stanford University,Course,4.7,Advanced,68000,68k
Probability and Statistics: To p or not to p?,University of London,Course,4.6,Beginner,36000,36k
Process Mining: Data science in Action,Eindhoven University of Technology,Course,4.8,Intermediate,39000,39k
"Programming Foundations with JavaScript, HTML and CSS",Duke University,Course,4.6,Beginner,250000,250k
Programming Fundamentals,Duke University,Course,4.7,Beginner,19000,19k
Programming for Everybody (Getting Started with Python),University of Michigan,Course,4.8,Mixed,1300000,1.3m
Programming with Google Go,"University of California, Irvine",Specialization,4.6,Intermediate,18000,18k
Project Execution,"University of California, Irvine",Course,4.2,Beginner,70000,70k
Project Launch,"University of California, Irvine",Course,4.7,Beginner,190000,190k
Project Management & Other Tools for Career Development,"University of California, Irvine",Specialization,4.6,Beginner,440000,440k
Project Management Principles and Practices,"University of California, Irvine",Specialization,4.7,Beginner,230000,230k
Psychological First Aid,Johns Hopkins University,Course,4.8,Mixed,190000,190k
Public Policy Challenges of the 21st Century,University of Virginia,Course,4.6,Beginner,52000,52k
Python Basics,University of Michigan,Course,4.8,Beginner,110000,110k
Python Classes and Inheritance,University of Michigan,Course,4.7,Intermediate,21000,21k
Python Data Structures,University of Michigan,Course,4.9,Mixed,420000,420k
"Python Functions, Files, and Dictionaries",University of Michigan,Course,4.8,Beginner,26000,26k
Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,Course,4.4,Intermediate,41000,41k
Python for Data Science and AI,IBM,Course,4.6,Beginner,170000,170k
Python for Everybody,University of Michigan,Specialization,4.8,Beginner,1500000,1.5m
Quantitative Methods,University of Amsterdam,Course,4.7,Mixed,69000,69k
Queering Identities: LGBTQ+ Sexuality and Gender Identity,University of Colorado System,Course,4.9,Beginner,3000,3k
R Programming,Johns Hopkins University,Course,4.6,Intermediate,480000,480k
"Ready, Set, Future! Introduction to Futures Thinking",Institute for the Future,Course,4.8,Beginner,7700,7.7k
Recommender Systems,University of Minnesota,Specialization,4.3,Intermediate,29000,29k
"Recruiting, Hiring, and Onboarding Employees",University of Minnesota,Course,4.7,Mixed,35000,35k
Reinforcement Learning,University of Alberta,Specialization,4.7,Intermediate,23000,23k
Renewable Energy and Green Building Entrepreneurship,Duke University,Course,4.7,Beginner,24000,24k
Reporting extra-financier et stratégie RSE,ESSEC Business School,Course,4.7,Beginner,5200,5.2k
Requirements Engineering: Secure Software  Specifications,University of Colorado System,Specialization,4.6,Beginner,7200,7.2k
Research Data Management and Sharing,The University of Edinburgh,Course,4.6,Mixed,16000,16k
"Resilience in Children Exposed to Trauma, Disaster and War: Global Perspectives",University of Minnesota,Course,4.8,Mixed,15000,15k
Responsive Website Development and Design,"Goldsmiths, University of London",Specialization,4.5,Beginner,170000,170k
Rethinking International Tax Law,Universiteit Leiden,Course,4.9,Mixed,36000,36k
Revisão Sistemática e Meta-análise,Universidade Estadual de Campinas,Course,4.9,Intermediate,17000,17k
Robotics,University of Pennsylvania,Specialization,4.4,Beginner,120000,120k
Roman Architecture,Yale University,Course,4.9,Beginner,30000,30k
Russian Alphabet,Saint Petersburg State University,Course,4.7,Beginner,3200,3.2k
Russian for beginners А1. Русский язык: A1,Saint Petersburg State University,Specialization,4.7,Beginner,7000,7k
Réussir le Changement,ESSEC Business School,Course,4.5,Mixed,33000,33k
SAS Programmer,SAS,Professional certificate,4.8,Beginner,370000,370k
SAS Visual Business Analytics,SAS,Professional certificate,4.6,Beginner,2600,2.6k
SQL for Data Science,"University of California, Davis",Course,4.6,Beginner,160000,160k
Sales Operations/Management,West Virginia University,Specialization,4.4,Beginner,5600,5.6k
Sales Training for High Performing Teams,HubSpot Academy,Specialization,4.7,Beginner,16000,16k
Sample-based Learning Methods,University of Alberta,Course,4.8,Intermediate,6800,6.8k
Scaling Operations: Linking Strategy and Execution,Northwestern University,Course,4.5,Mixed,12000,12k
School Health for Children and Adolescents,University of Colorado System,Specialization,4.8,Beginner,9100,9.1k
Science of Exercise,University of Colorado Boulder,Course,4.8,Beginner,140000,140k
Search Engine Optimization Fundamentals,"University of California, Davis",Course,4.7,Mixed,47000,47k
Secure Coding Practices,"University of California, Davis",Specialization,4.4,Intermediate,6400,6.4k
Security & Safety Challenges in a Globalized World,Universiteit Leiden,Course,4.7,Beginner,14000,14k
Security in Google Cloud Platform,Google Cloud,Specialization,4.7,Intermediate,300000,300k
Self-Driving Cars,University of Toronto,Specialization,4.7,Advanced,39000,39k
Sequence Models,deeplearning.ai,Course,4.8,Intermediate,14000,14k
Sexualidad...mucho más que sexo,Universidad de los Andes,Course,4.8,Beginner,110000,110k
Sharpened Visions: A Poetry Workshop,California Institute of the Arts,Course,4.7,Beginner,61000,61k
Site Reliability Engineering: Measuring and Managing Reliability,Google Cloud,Course,4.5,Advanced,16000,16k
Six Sigma Green Belt,University System of Georgia,Specialization,4.7,Intermediate,18000,18k
Six Sigma and the Organization (Advanced),University System of Georgia,Course,4.7,Intermediate,15000,15k
"Sleep: Neurobiology, Medicine, and Society",University of Michigan,Course,4.8,Beginner,20000,20k
Smart Cities – Management of Smart Urban Infrastructures,École Polytechnique Fédérale de Lausanne,Course,4.6,Beginner,22000,22k
Social Entrepreneurship,Copenhagen Business School,Specialization,4.6,Beginner,13000,13k
Social Media Marketing,Northwestern University,Specialization,4.6,Beginner,130000,130k
"Social Norms, Social Change I",University of Pennsylvania,Course,4.6,Beginner,78000,78k
Social Policy for Social Services & Health Practitioners,Columbia University,Specialization,4.8,Beginner,4200,4.2k
Social Psychology,Wesleyan University,Course,4.7,Beginner,220000,220k
Social and Economic Networks:  Models and Analysis,Stanford University,Course,4.8,Advanced,42000,42k
Software Design and Architecture,University of Alberta,Specialization,4.6,Beginner,60000,60k
Software Development Lifecycle,University of Minnesota,Specialization,4.6,Intermediate,34000,34k
Software Processes and Agile Practices,University of Alberta,Course,4.7,Mixed,60000,60k
Software Product Management,University of Alberta,Specialization,4.6,Beginner,110000,110k
Solar Energy Basics,The State University of New York,Course,4.8,Beginner,17000,17k
Songwriting: Writing the Lyrics,Berklee College of Music,Course,4.8,Beginner,68000,68k
Soporte de Tecnologías de la Información de Google,Crece con Google,Professional certificate,4.9,Beginner,8800,8.8k
Spacecraft Dynamics and Control,University of Colorado Boulder,Specialization,4.8,Advanced,12000,12k
Spanish Vocabulary: Meeting People,"University of California, Davis",Course,4.6,Beginner,71000,71k
"Speak English Professionally: In Person, Online & On the Phone",Georgia Institute of Technology,Course,4.6,Mixed,430000,430k
Sports Marketing,Northwestern University,Course,4.7,Intermediate,12000,12k
Sports and Society,Duke University,Course,4.8,Mixed,16000,16k
Stanford Introduction to Food and Health,Stanford University,Course,4.7,Beginner,370000,370k
Stanford's Short Course on Breastfeeding,Stanford University,Course,4.7,Beginner,17000,17k
Statistical Analysis with R for Public Health,Imperial College London,Specialization,4.7,Beginner,16000,16k
Statistics with Python,University of Michigan,Specialization,4.6,Beginner,34000,34k
Statistics with R,Duke University,Specialization,4.7,Beginner,220000,220k
Stories of Infection,Stanford University,Course,4.9,Intermediate,28000,28k
Strategic Business Analytics,ESSEC Business School,Specialization,4.3,Advanced,60000,60k
Strategic Business Management - Microeconomics,"University of California, Irvine",Course,4.7,Beginner,9500,9.5k
Strategic Leadership and Management,University of Illinois at Urbana-Champaign,Specialization,4.7,Beginner,100000,100k
Strategic Management,Copenhagen Business School,Course,4.7,Mixed,58000,58k
Strategic Management and Innovation,Copenhagen Business School,Specialization,4.7,Beginner,68000,68k
Strategic Sales Management,Fundação Instituto de Administração,Specialization,4.5,Intermediate,9200,9.2k
Strategising: Management for Global Competitive Advantage,Macquarie University,Specialization,4.8,Intermediate,30000,30k
Strategy and Sustainability,IESE Business School,Course,4.6,Beginner,11000,11k
Structuring Machine Learning Projects,deeplearning.ai,Course,4.8,Beginner,220000,220k
Success,University of Pennsylvania,Course,4.8,Beginner,38000,38k
Successful Negotiation: Essential Strategies and Skills,University of Michigan,Course,4.8,Mixed,750000,750k
Summary Statistics in Public Health,Johns Hopkins University,Course,4.8,Beginner,11000,11k
Supply Chain Analytics,Rutgers the State University of New Jersey,Course,4.7,Beginner,7900,7.9k
Supply Chain Finance and Blockchain Technology,New York Institute of Finance,Specialization,4.6,Intermediate,4900,4.9k
Supply Chain Logistics,Rutgers the State University of New Jersey,Course,4.7,Beginner,66000,66k
Supply Chain Management,Rutgers the State University of New Jersey,Specialization,4.7,Beginner,82000,82k
Supply Chain Operations,Rutgers the State University of New Jersey,Course,4.8,Beginner,24000,24k
Supply Chain Principles,Georgia Institute of Technology,Course,4.6,Mixed,29000,29k
Supporting children with difficulties in reading and writing,UCL Institute of Education,Course,4.8,Mixed,50000,50k
Survey Data Collection and Analytics,"University of Maryland, College Park",Specialization,4.3,Beginner,45000,45k
Sustainable Tourism – promoting environmental public health,University of Copenhagen,Course,4.6,Beginner,9400,9.4k
Swift 5 iOS Application Developer,LearnQuest,Specialization,4.5,Beginner,3900,3.9k
System Administration and IT Infrastructure Services,Google,Course,4.7,Beginner,62000,62k
Systems Biology and Biotechnology,Icahn School of Medicine at Mount Sinai,Specialization,4.4,Intermediate,48000,48k
Systems Thinking In Public Health,Johns Hopkins University,Course,4.9,Mixed,33000,33k
"TESOL Certificate, Part 1: Teach English Now!",Arizona State University,Specialization,4.9,Beginner,100000,100k
"TESOL Certificate, Part 2: Teach English Now!",Arizona State University,Specialization,4.9,Beginner,62000,62k
Teach English Now! Foundational Principles,Arizona State University,Course,4.9,Mixed,81000,81k
Teach English Now! Teaching Language Online,Arizona State University,Course,4.4,Intermediate,8500,8.5k
Teaching Character and Creating Positive Classrooms,Relay Graduate School of Education,Course,4.8,Mixed,53000,53k
Teamwork Skills: Communicating Effectively in Groups,University of Colorado Boulder,Course,4.8,Beginner,49000,49k
Technical Support Fundamentals,Google,Course,4.8,Beginner,280000,280k
TensorFlow in Practice,deeplearning.ai,Specialization,4.7,Intermediate,170000,170k
TensorFlow: Data and Deployment,deeplearning.ai,Specialization,4.5,Intermediate,12000,12k
Terrorism and Counterterrorism: Comparing Theory and Practice,Universiteit Leiden,Course,4.8,Beginner,90000,90k
The Addicted Brain,Emory University,Course,4.6,Beginner,130000,130k
The Art of Music Production,Berklee College of Music,Course,4.8,Intermediate,47000,47k
The Art of Sales: Mastering the Selling Process,Northwestern University,Specialization,4.7,Beginner,23000,23k
The Arts and Science of Relationships: Understanding Human Needs,University of Toronto,Course,4.5,Beginner,73000,73k
The Bits and Bytes of Computer Networking,Google,Course,4.7,Beginner,130000,130k
The Business of Health Care,University of Pennsylvania,Specialization,4.6,Beginner,22000,22k
The Business of Music Production,Berklee College of Music,Specialization,4.8,Beginner,84000,84k
The Changing Global Order,Universiteit Leiden,Course,4.7,Intermediate,23000,23k
The Cycle: Management of Successful Arts and Cultural Organizations,"University of Maryland, College Park",Course,4.8,Beginner,11000,11k
The DIY Musician,Berklee College of Music,Specialization,4.8,Beginner,120000,120k
The Data Scientist’s Toolbox,Johns Hopkins University,Course,4.6,Mixed,420000,420k
The Economics of Health Care Delivery,University of Pennsylvania,Course,4.8,Mixed,7200,7.2k
The Global Financial Crisis,Yale University,Course,4.8,Mixed,84000,84k
The Horse Course: Introduction to Basic Care and Management,University of Florida,Course,4.9,Mixed,29000,29k
The Manager's Toolkit: A Practical Guide to Managing People at Work,"Birkbeck, University of London",Course,4.6,Mixed,47000,47k
"The Modern World, Part One: Global History from 1760 to 1910",University of Virginia,Course,4.8,Beginner,130000,130k
"The Modern World, Part Two: Global History since 1910",University of Virginia,Course,4.8,Beginner,47000,47k
The Oral Cavity: Portal to Health and Disease,University of Pennsylvania,Course,4.9,Intermediate,9400,9.4k
The Power of Macroeconomics: Economic Principles in the Real World,"University of California, Irvine",Course,4.6,Mixed,180000,180k
The Power of Microeconomics: Economic Principles in the Real World,"University of California, Irvine",Course,4.7,Mixed,120000,120k
The Pronunciation of American English,"University of California, Irvine",Specialization,4.6,Beginner,1700,1.7k
The Science of Gastronomy,The Hong Kong University of Science and Technology,Course,4.6,Mixed,50000,50k
The Science of Stem Cells,American Museum of Natural History,Course,4.7,Intermediate,12000,12k
The Science of Success: What Researchers Know that You Should Know,University of Michigan,Course,4.8,Beginner,59000,59k
The Science of Training Young Athletes,University of Florida,Course,4.9,Beginner,13000,13k
The Science of Well-Being,Yale University,Course,4.9,Mixed,2500000,2.5m
The Singer Songwriter,Berklee College of Music,Specialization,4.8,Beginner,320000,320k
The Social Context of Mental Health and Illness,University of Toronto,Course,4.6,Mixed,19000,19k
The Strategy of Content Marketing,"University of California, Davis",Course,4.5,Intermediate,100000,100k
"The Sustainable Development Goals – A global, transdisciplinary vision for the future",University of Copenhagen,Course,4.8,Beginner,26000,26k
The Teacher and Social and Emotional Learning (SEL),University of Colorado Boulder,Specialization,4.7,Beginner,5200,5.2k
The Technology of Music Production,Berklee College of Music,Course,4.8,Beginner,28000,28k
The Truth About Cats and Dogs,The University of Edinburgh,Course,4.7,Mixed,33000,33k
The hidden value – Lean in manufacturing and services,École des Ponts ParisTech,Course,4.7,Beginner,14000,14k
Think Again I: How to Understand Arguments,Duke University,Course,4.6,Beginner,200000,200k
Tools for Data Science,IBM,Course,4.6,Beginner,120000,120k
Trading Strategies in Emerging Markets,Indian School of Business,Specialization,4.3,Beginner,68000,68k
"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",UNSW Sydney (The University of New South Wales),Course,4.8,Mixed,45000,45k
Tricky American English Pronunciation,"University of California, Irvine",Course,4.7,Beginner,110000,110k
Troubles du spectre de l'autisme : diagnostic,University of Geneva,Course,4.9,Intermediate,5400,5.4k
U.S. Federal Taxation,University of Illinois at Urbana-Champaign,Specialization,4.8,Intermediate,12000,12k
UCI Project Management,"University of California, Irvine",Professional certificate,4.6,Beginner,44000,44k
UI / UX Design,California Institute of the Arts,Specialization,4.7,Beginner,68000,68k
UX Design Fundamentals,California Institute of the Arts,Course,4.8,Beginner,25000,25k
Understanding Cancer Metastasis,Johns Hopkins University,Course,4.8,Beginner,29000,29k
Understanding Clinical Research: Behind the Statistics,University of Cape Town,Course,4.8,Mixed,78000,78k
Understanding Einstein: The Special Theory of Relativity,Stanford University,Course,4.9,Beginner,89000,89k
Understanding Medical Research: Your Facebook Friend is Wrong,Yale University,Course,4.8,Beginner,24000,24k
Understanding Modern Finance,American Institute of Business and Economics,Specialization,4.4,Intermediate,11000,11k
Understanding Plants - Part I: What a Plant Knows,Tel Aviv University,Course,4.8,Beginner,49000,49k
Understanding Research Methods,SOAS University of London,Course,4.5,Mixed,120000,120k
Understanding and Visualizing Data with Python,University of Michigan,Course,4.7,Beginner,30000,30k
Understanding the Brain: The Neurobiology of Everyday Life,The University of Chicago,Course,4.9,Beginner,130000,130k
Unity Certified Programmer Exam Preparation,Unity,Specialization,4.5,Intermediate,6100,6.1k
Unity XR: How to Build AR and VR Apps,Unity,Specialization,4.2,Beginner,12000,12k
University Teaching,The University of Hong Kong,Course,4.8,Beginner,9500,9.5k
Unraveling the Cycling City,University of Amsterdam,Course,4.9,Intermediate,3900,3.9k
User Experience Research and Design,University of Michigan,Specialization,4.8,Beginner,23000,23k
User Interface Design,University of Minnesota,Specialization,4.6,Intermediate,43000,43k
Using Databases with Python,University of Michigan,Course,4.8,Mixed,220000,220k
Using Python to Access Web Data,University of Michigan,Course,4.8,Mixed,310000,310k
Using Python to Interact with the Operating System,Google,Course,4.7,Beginner,19000,19k
Value Chain Management,University of Illinois at Urbana-Champaign,Specialization,4.7,Intermediate,63000,63k
Version Control with Git,Atlassian,Course,4.8,Mixed,40000,40k
Viral Marketing and How to Craft Contagious Content,University of Pennsylvania,Course,4.7,Mixed,150000,150k
Virtual Reality,"Goldsmiths, University of London",Specialization,4.7,Beginner,37000,37k
Virtual Teacher,"University of California, Irvine",Specialization,4.3,Beginner,23000,23k
Vital Signs: Understanding What the Body Is Telling Us,University of Pennsylvania,Course,4.8,Mixed,190000,190k
Web Applications for Everybody,University of Michigan,Specialization,4.8,Intermediate,120000,120k
Web Design for Everybody: Basics of Web Development & Coding,University of Michigan,Specialization,4.7,Beginner,280000,280k
Weight Management: Beyond Balancing Calories,Emory University,Course,4.7,Beginner,34000,34k
What Is Contemporary Art?,The Museum of Modern Art,Course,4.7,Beginner,120000,120k
What future for education?,UCL Institute of Education,Course,4.7,Mixed,35000,35k
What is Compliance?,University of Pennsylvania,Course,4.8,Mixed,6200,6.2k
What is Data Science?,IBM,Course,4.7,Beginner,260000,260k
What is Social?,Northwestern University,Course,4.6,Mixed,94000,94k
Wine Tasting: Sensory Techniques for Wine Analysis,"University of California, Davis",Course,4.7,Beginner,32000,32k
Wonders of Ancient Egypt,University of Pennsylvania,Course,4.8,Intermediate,17000,17k
Write A Feature Length Screenplay For Film Or Television,Michigan State University,Course,4.9,Beginner,12000,12k
Write Professional Emails in English,Georgia Institute of Technology,Course,4.7,Mixed,270000,270k
Write Your First Novel,Michigan State University,Course,4.4,Beginner,18000,18k
Writing in the Sciences,Stanford University,Course,4.9,Beginner,140000,140k
e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,University of Illinois at Urbana-Champaign,Course,4.5,Mixed,17000,17k
iOS App Development with Swift,University of Toronto,Specialization,3.9,Intermediate,76000,76k
¿Qué hacen los buenos directivos? Prioridades de la Alta Dirección,IESE Business School,Course,4.7,Beginner,25000,25k
Étudier en France: French Intermediate course B1-B2,École Polytechnique,Course,4.8,Intermediate,190000,190k
Éxito Profesional,"University of California, Irvine",Specialization,4.5,Beginner,69000,69k
Искусство ведения бизнеса,Saint Petersburg State University,Specialization,4.6,Beginner,14000,14k
Искусство разработки на современном C++,E-Learning Development Fund,Specialization,4.9,Intermediate,68000,68k
Корпоративные финансы и стоимость компании,National Research University Higher School of Economics,Specialization,4.5,Beginner,16000,16k
Математика и Python для анализа данных,E-Learning Development Fund,Course,4.8,Beginner,67000,67k
Машинное обучение и анализ данных,E-Learning Development Fund,Specialization,4.7,Intermediate,77000,77k
Основы Digital Маркетинга,National Research University Higher School of Economics,Specialization,4.5,Intermediate,19000,19k
Основы программирования на Python,National Research University Higher School of Economics,Course,4.6,Beginner,83000,83k
Основы разработки на C++: белый пояс,E-Learning Development Fund,Course,4.9,Intermediate,41000,41k
Погружение в Python,Moscow Institute of Physics and Technology,Course,4.7,Intermediate,45000,45k
Программирование на Python,Mail.Ru Group,Specialization,4.5,Intermediate,52000,52k
Психолингвистика (Psycholinguistics),Saint Petersburg State University,Course,4.8,Mixed,21000,21k
Разработка интерфейсов: вёрстка и JavaScript,E-Learning Development Fund,Specialization,4.5,Intermediate,30000,30k
Русский как иностранный,Saint Petersburg State University,Specialization,4.6,Intermediate,9800,9.8k
Финансовые инструменты для частного инвестора,National Research University Higher School of Economics,Specialization,4.7,Beginner,38000,38k
